,Date,Description,Location
134,1/28/2022 18:24,Battery - cutting,SELBE CT / LESCOT LN
135,1/28/2022 18:22,General disturbance,5500 BLOCK GATLIN AVE
136,1/28/2022 18:11,Domestic disturbance,Restricted Address
137,1/28/2022 18:08,Battery,500 BLOCK SUNSET DR
138,1/28/2022 16:27,General disturbance - armed,3900 BLOCK SOUTHPOINTE DR
139,1/28/2022 15:44,Fugitive from justice,6000 BLOCK RALEIGH ST
140,1/28/2022 23:19,General disturbance,5200 BLOCK N ORANGE BLOSSOM TRL
141,1/28/2022 23:15,House/business check,S ORANGE BLOSSOM TRL / LONG ST
142,1/28/2022 22:52,Trespasser,5500 BLOCK N ORANGE BLOSSOM TRL
143,1/28/2022 22:47,Suspicious vehicle,1 BLOCK W WASHINGTON ST
144,1/28/2022 22:43,Commercial alarm,4600 BLOCK MILLENIA PLAZA WAY
145,1/28/2022 22:39,Domestic disturbance,Restricted Address
146,1/28/2022 22:34,Suspicious person,700 BLOCK MAGUIRE BLVD
147,1/28/2022 22:15,Suspicious incident,600 BLOCK LAKE DOT CIR
148,1/28/2022 22:11,Commercial alarm,900 BLOCK SLIGH BLVD
149,1/28/2022 22:03,Community Orientated Policing detail,1300 BLOCK N MILLS AVE
150,1/28/2022 21:41,Lost/found property,9300 BLOCK JEFF FUQUA BLVD
151,1/28/2022 21:38,Stolen vehicle,1700 BLOCK BRUTON BLVD
152,1/28/2022 21:33,Mentally-ill person (non-violent),900 BLOCK S ORANGE AVE
153,1/28/2022 21:29,Attempted suicide,Restricted Address
154,1/28/2022 21:07,Battery - cutting,300 BLOCK S ORANGE BLOSSOM TRL
155,1/28/2022 21:04,Theft by shoplifting,5800 BLOCK CURRY FORD RD
156,1/29/2022 9:52,Vehicle B&E,6300 BLOCK BUFORD ST
157,1/29/2022 9:52,Designated Patrol Area - available,9300 BLOCK JEFF FUQUA BLVD
158,1/29/2022 9:50,House/business check,5700 BLOCK CAMDEN RD
159,1/29/2022 9:49,Residential alarm,200 BLOCK HIBISCUS CT
160,1/29/2022 9:47,House/business check,4600 BLOCK PARKBREEZE CT
161,1/29/2022 9:46,Stolen vehicle,2700 BLOCK E CHURCH ST
162,1/29/2022 9:45,Unknown trouble,1000 BLOCK W JEFFERSON ST
163,1/29/2022 9:44,Lost/found property,9200 BLOCK JEFF FUQUA BLVD
164,1/29/2022 9:34,House/business check,3100 BLOCK W PRINCETON ST
165,1/29/2022 9:25,Nuisance animal,3300 BLOCK S KIRKMAN RD
166,1/29/2022 9:09,Domestic disturbance,Restricted Address
167,1/29/2022 9:02,General disturbance,10200 BLOCK JEFF FUQUA BLVD
168,1/29/2022 8:44,Check the well being of,900 BLOCK N ORANGE AVE
169,1/29/2022 8:33,Fraud-counterfeit,6200 BLOCK PERSHING AVE
170,1/29/2022 8:10,Stolen vehicle,1200 BLOCK W SOUTH ST
171,1/29/2022 8:02,Vehicle B&E,1800 BLOCK GAMMON LN
172,1/29/2022 7:38,Vehicle B&E,6400 BLOCK CAVA ALTA DR
173,1/29/2022 6:13,Commercial robbery,5800 BLOCK CURRY FORD RD
174,1/29/2022 6:05,Fugitive from justice,3900 BLOCK SOUTHPOINTE DR
175,1/29/2022 18:11,Suspicious vehicle,5600 BLOCK MAJOR BLVD
176,1/29/2022 18:08,House/business check,4100 BLOCK LAKE UNDERHILL RD
177,1/29/2022 18:06,Suspicious incident,300 BLOCK N PARRAMORE AVE
178,1/29/2022 18:04,Domestic disturbance,Restricted Address
179,1/29/2022 18:03,Suspicious person,3900 BLOCK W D JUDGE DR
180,1/29/2022 18:02,Community Orientated Policing detail,1 BLOCK N FANFAIR AVE
181,1/29/2022 17:59,Suspicious vehicle,VIRGINIA DR / ALDEN RD
182,1/29/2022 17:58,Theft by shoplifting,9300 BLOCK JEFF FUQUA BLVD
183,1/29/2022 17:53,Battery,1500 BLOCK CROOMS AVE
184,1/29/2022 17:44,Community Orientated Policing detail,S TERRY AVE / W CENTRAL BLVD
185,1/29/2022 17:43,Noise ordinance violation,E CENTRAL BLVD / N MAGNOLIA AVE
186,1/29/2022 17:42,Suspicious person,5500 BLOCK N ORANGE BLOSSOM TRL
187,1/29/2022 17:41,Battery,8800 BLOCK WARWICK SHORE CROSSING
188,1/29/2022 17:37,Battery,2200 BLOCK YANKEE PL
189,1/29/2022 17:37,Weapons/armed,MERCY DR / W COLONIAL DR
190,1/29/2022 17:33,Accident with road blockage,GUINYARD WAY / WELLS ST
191,1/29/2022 17:26,Domestic disturbance,Restricted Address
192,1/29/2022 17:25,Accident (injuries),NARCOOSSEE RD / LEEVISTA BLVD
193,1/29/2022 17:20,Stolen/lost tag,S KIRKMAN RD / INTERNATIONAL DR
194,1/29/2022 17:03,Battery,5400 BLOCK ALTAMIRA DR
195,1/29/2022 17:02,Accident (injuries),LEE RD / N ORANGE BLOSSOM TRL
196,1/29/2022 16:58,Check the well being of,DELANEY ST / E PINELOCH AVE
197,1/29/2022 16:49,Theft,4900 BLOCK INTERNATIONAL DR
198,1/29/2022 16:45,Accident (minor),1 BLOCK
199,1/29/2022 16:38,Suspicious person,1400 BLOCK EL PASO AVE
200,1/29/2022 16:12,Accident (injuries),1 BLOCK
201,1/29/2022 15:52,Stalking,Restricted Address
202,1/29/2022 15:24,Community Orientated Policing detail,S COURT AVE / E CENTRAL BLVD
203,1/30/2022 8:02,Check the well being of,3000 BLOCK W COLONIAL DR
204,1/30/2022 7:54,Accident (minor),S KIRKMAN RD / W SAND LAKE RD OFF RAMP E
205,1/30/2022 7:53,General investigation,9400 BLOCK JEFF FUQUA BLVD
206,1/30/2022 7:49,House/business check,N ORANGE BLOSSOM TRL / W PRINCETON ST
