,Date,Description,Location
1464,3/3/2022 19:00,House/business check,800 BLOCK W JACKSON ST
1465,3/3/2022 18:54,General disturbance,700 BLOCK S IVEY LN
1466,3/3/2022 18:49,Mentally-ill person (non-violent),400 BLOCK N GARLAND AVE
1467,3/3/2022 18:45,Accident (minor),5600 BLOCK LAKE UNDERHILL RD
1468,3/3/2022 18:43,Drug violation,9700 BLOCK JEFF FUQUA BLVD
1469,3/3/2022 18:39,Theft,500 BLOCK E COLONIAL DR
1470,3/3/2022 18:34,Attempted suicide,Restricted Address
1471,3/3/2022 18:13,Theft,11800 BLOCK CAMPFIRE STORY LN
1472,3/3/2022 18:13,Battery,6000 BLOCK UNIVERSAL BLVD
1473,3/3/2022 18:07,Accident (minor),6600 BLOCK EAGLE WATCH DR
1474,3/3/2022 17:52,Missing person - juvenile,5700 BLOCK WESTGATE DR
1475,3/3/2022 17:52,Illegally parked cars,1400 BLOCK DAUPHIN LN
1476,3/3/2022 17:42,Weapons/armed,BAMBOO DR / PALMYRA DR
1477,3/3/2022 17:32,Domestic disturbance,Restricted Address
1478,3/3/2022 17:32,Accident with road blockage,NOT AVAILABLE
1479,3/3/2022 17:32,Trespasser,600 BLOCK E ROLLINS ST
1480,3/3/2022 17:20,Theft,3100 BLOCK W PRINCETON ST
1481,3/3/2022 17:08,Accident (minor),S HIAWASSEE RD / RALEIGH ST
1482,3/3/2022 16:41,Residential B&E,5200 BLOCK N ORANGE BLOSSOM TRL
1483,3/3/2022 14:42,Battery,1 BLOCK W AMELIA ST
1484,3/3/2022 10:42,Weapons/armed,500 BLOCK N PRIMROSE DR
1485,3/4/2022 22:14,Residential alarm,6300 BLOCK YELLOWSTONE ST
1486,3/4/2022 22:06,Disabled occupied vehicle,2100 BLOCK LAKE DEBRA DR
1487,3/4/2022 22:05,Suspicious person,NEW BROAD ST / MEETING PL
1488,3/4/2022 21:52,Threats/assault,600 BLOCK W COLONIAL DR
1489,3/4/2022 21:43,Non-emergency assistance,RIO LN / 29TH ST
1490,3/4/2022 21:42,Designated Patrol Area - available,11000 BLOCK TERMINAL C SERVICE RD
1491,3/4/2022 21:34,Mentally-ill person (non-violent),S GARLAND AVE / W CHURCH ST
1492,3/4/2022 21:21,Domestic disturbance,Restricted Address
1493,3/4/2022 21:16,Unknown trouble,5200 BLOCK INDIAN LAUREL CT
1494,3/4/2022 21:14,Battery,300 BLOCK S BUMBY AVE
1495,3/4/2022 21:11,Battery,1400 BLOCK N ORANGE AVE
1496,3/4/2022 20:49,Designated Patrol Area - available,9300 BLOCK JEFF FUQUA BLVD
1497,3/4/2022 20:41,Commercial B&E,600 BLOCK W CHURCH ST
1498,3/4/2022 20:36,Suspicious incident,12000 BLOCK THEME ALY
1499,3/4/2022 20:33,Domestic disturbance,Restricted Address
1500,3/4/2022 20:12,Other sex crimes,Restricted Address
1501,3/4/2022 19:07,Car jacking,2100 BLOCK STANLEY ST
1502,3/4/2022 18:59,Suspicious person,500 BLOCK W CHURCH ST
1503,3/4/2022 18:57,Battery - shooting,2100 BLOCK MOUNT VERNON ST
1504,3/4/2022 18:40,Vandalism/criminal mischief,5700 BLOCK BEAU BARTON PL
1505,3/4/2022 18:20,Theft by shoplifting,5200 BLOCK INTERNATIONAL DR
1506,3/4/2022 18:11,House/business check,5800 BLOCK INTERNATIONAL DR
1507,3/4/2022 18:10,Weapons/armed,9300 BLOCK JEFF FUQUA BLVD
1508,3/4/2022 18:03,Trespasser,4500 BLOCK N ORANGE BLOSSOM TRL
1509,3/4/2022 18:02,Hit and run (injuries),S JOHN YOUNG PKWY / MONTE CARLO TRL
1510,3/5/2022 8:27,Theft,1900 BLOCK JAKE ST
1511,3/5/2022 8:19,Weapons/armed,NOT AVAILABLE
1512,3/5/2022 8:17,Check the well being of,4500 BLOCK RING NECK RD
1513,3/5/2022 8:16,Suspicious incident,3400 BLOCK E COLONIAL DR
1514,3/5/2022 8:12,House/business check,3500 BLOCK W COLONIAL DR
1515,3/5/2022 8:07,Commercial B&E,8600 BLOCK LEEVISTA BLVD
1516,3/5/2022 8:07,Fugitive from justice,600 BLOCK W CHURCH ST
1517,3/5/2022 8:03,Hit and run (minor),1 BLOCK
1518,3/5/2022 7:49,Commercial alarm,1100 BLOCK DREW AVE
1519,3/5/2022 7:14,Theft,5300 BLOCK VINELAND RD
1520,3/5/2022 7:05,Suspicious incident,9600 BLOCK JEFF FUQUA BLVD
1521,3/5/2022 5:07,Person robbery,600 BLOCK W CHURCH ST
1522,3/5/2022 20:45,Suspicious person,1 BLOCK
1523,3/5/2022 20:44,Domestic disturbance,Restricted Address
1524,3/5/2022 20:35,Accident (injuries),6200 BLOCK INTERNATIONAL DR
1525,3/5/2022 20:31,Accident (minor),W COLONIAL DR / I-4 E
1526,3/5/2022 20:30,Accident (injuries),W ROBINSON ST / N GARLAND AVE
1527,3/5/2022 20:27,General disturbance,ROSEWOOD WAY / CINDERLANE PKWY
1528,3/5/2022 20:26,Noise ordinance violation,300 BLOCK E CENTRAL BLVD
1529,3/5/2022 20:14,Stolen vehicle,N MAGNOLIA AVE / E LIVINGSTON ST
1530,3/5/2022 20:11,Stolen/lost tag,4700 BLOCK W COLONIAL DR
1531,3/5/2022 20:00,Recovered missing person,7700 BLOCK GLYNDE HILL DR
1532,3/5/2022 19:56,Suspicious person,W JEFFERSON ST / MCQUIGG AVE
1533,3/5/2022 19:52,Accident (minor),N PARRAMORE AVE / W COLONIAL DR
1534,3/5/2022 19:51,General disturbance,5200 BLOCK INTERNATIONAL DR
1535,3/5/2022 19:36,Accident with road blockage,E COLONIAL DR / SHINE AVE
1536,3/5/2022 19:30,Person robbery,600 BLOCK W WASHINGTON ST
1537,3/5/2022 19:25,Suspicious incident,6000 BLOCK AMBERLY AVE
1538,3/5/2022 19:24,Battery,6200 BLOCK PERSHING AVE
1539,3/5/2022 19:11,Suspicious person,4900 BLOCK INTERNATIONAL DR
1540,3/5/2022 19:07,Noise ordinance violation,400 BLOCK N ORANGE AVE
1541,3/5/2022 18:42,General disturbance,S COURT AVE / E CENTRAL BLVD
1542,3/5/2022 18:37,Drug violation,S WESTMORELAND DR / CARTER ST
1543,3/5/2022 18:33,Battery,2500 BLOCK WOODGATE BLVD
1544,3/5/2022 18:23,House/business check,800 BLOCK GRAND ST
1545,3/5/2022 18:22,Suspicious person,200 BLOCK S PARRAMORE AVE
1546,3/5/2022 18:14,Fugitive from justice,5000 BLOCK DOCKSIDE DR
1547,3/5/2022 18:09,Vehicle B&E,6000 BLOCK UNIVERSAL BLVD
1548,3/5/2022 16:54,Fraud-counterfeit,9400 BLOCK JEFF FUQUA BLVD
1549,3/5/2022 16:29,Battery,12100 BLOCK SATIRE ST
1550,3/6/2022 14:40,Suspicious incident,700 BLOCK WESTDALE AVE
1551,3/6/2022 14:39,Commercial alarm,2600 BLOCK S ORANGE AVE
1552,3/6/2022 14:39,Fire,500 BLOCK N JOHN YOUNG PKWY
1553,3/6/2022 14:35,House/business check,INTERNATIONAL DR / AMERICAN WAY
1554,3/6/2022 14:33,Battery,9100 BLOCK JEFF FUQUA BLVD
1555,3/6/2022 14:28,Designated Patrol Area - available,S OXALIS AVE / INCA ST
1556,3/6/2022 14:22,Vehicle B&E,1200 BLOCK W ANDERSON ST
1557,3/6/2022 14:21,Designated Patrol Area - available,9400 BLOCK JEFF FUQUA BLVD N
1558,3/6/2022 14:20,Accident with road blockage,LAKE BALDWIN LN / E COLONIAL DR
1559,3/6/2022 14:15,Designated Patrol Area - available,GRAND NATIONAL DR / INTERNATIONAL DR
1560,3/6/2022 14:10,Stolen vehicle,9400 BLOCK JEFF FUQUA BLVD
1561,3/6/2022 14:07,Trespasser,3000 BLOCK W COLONIAL DR
1562,3/6/2022 13:58,Lost/found property,S ORANGE AVE / E CENTRAL BLVD
1563,3/6/2022 13:55,Attempted suicide,Restricted Address
1564,3/6/2022 13:51,Stolen/lost tag,600 BLOCK INSPIRATION WAY
1565,3/6/2022 13:35,Trespasser,4600 BLOCK W COLONIAL DR
1566,3/6/2022 13:18,Commercial alarm,7600 BLOCK UNIVERSAL BLVD
1567,3/6/2022 13:16,Direct traffic,10100 BLOCK HARTFORD MAROON RD
1568,3/6/2022 12:56,Weapons/armed,9200 BLOCK JEFF FUQUA BLVD
1569,3/6/2022 12:42,Theft by shoplifting,4700 BLOCK W COLONIAL DR
1570,3/6/2022 12:24,Domestic disturbance,Restricted Address
1571,3/6/2022 12:12,Stolen/lost tag,3100 BLOCK W PRINCETON ST
1572,3/6/2022 11:58,Mentally-ill person (non-violent),6000 BLOCK UNIVERSAL BLVD
1573,3/6/2022 11:56,Obstruction on highway,W MICHIGAN ST / KUNZE AVE
1574,3/6/2022 10:44,Battery,9300 BLOCK JEFF FUQUA BLVD N
1575,3/6/2022 10:00,Fugitive from justice,1400 BLOCK KUHL AVE
1576,3/6/2022 9:25,Stolen vehicle,8400 BLOCK MCCOY RD
1577,3/6/2022 20:37,Suspicious incident,300 BLOCK E ANDERSON ST
1578,3/6/2022 20:35,Non-emergency assistance,1400 BLOCK KUHL AVE
1579,3/6/2022 20:20,Suspicious incident,1800 BLOCK AARON AVE
1580,3/6/2022 20:18,Stolen/lost tag,CONROY RD / I-4 W
1581,3/6/2022 20:15,Accident (injuries),NOT AVAILABLE
1582,3/6/2022 20:14,Domestic disturbance,Restricted Address
1583,3/6/2022 20:13,Vehicle B&E,5300 BLOCK CINDERLANE PKWY
1584,3/6/2022 20:12,Domestic disturbance,Restricted Address
1585,3/6/2022 20:10,Missing person - juvenile,1900 BLOCK CONWAY RD
1586,3/6/2022 20:06,House/business check,3100 BLOCK S ORANGE AVE
1587,3/6/2022 20:04,Rape,Restricted Address
1588,3/6/2022 20:02,Designated Patrol Area - available,E SOUTH ST / S ROSALIND AVE
1589,3/6/2022 19:58,Mentally-ill person (violent),4400 BLOCK CURRY FORD RD
1590,3/6/2022 19:57,Theft by shoplifting,2500 BLOCK S KIRKMAN RD
1591,3/6/2022 19:37,Missing person - adult,1000 BLOCK LAKE DAVIS DR
1592,3/6/2022 19:23,General investigation,5800 BLOCK INTERNATIONAL DR
1593,3/6/2022 19:03,Theft by shoplifting,100 BLOCK W GRANT ST
1594,3/6/2022 18:58,Child neglect,Restricted Address
1595,3/6/2022 18:55,Drug violation,W ANDERSON ST / S DIVISION AVE
1596,3/6/2022 18:29,Vandalism/criminal mischief,4100 BLOCK CONROY RD
1597,3/6/2022 17:49,Suspicious incident,SI
1598,3/6/2022 17:45,Threatening animal,5600 BLOCK WOODEN PINE DR
1599,3/6/2022 17:06,Drug violation,W CHURCH ST / S RIO GRANDE AVE
1600,3/6/2022 17:05,General investigation,9400 BLOCK JEFF FUQUA BLVD
1601,3/7/2022 20:30,General disturbance,2100 BLOCK LAKE VILMA DR
1602,3/7/2022 20:30,Accident (minor),5300 BLOCK S KIRKMAN RD
1603,3/7/2022 20:29,Domestic disturbance,Restricted Address
1604,3/7/2022 20:29,House/business check,N ORANGE AVE / S IVANHOE BLVD E
1605,3/7/2022 20:27,Unknown trouble,5200 BLOCK BARNEGAT POINT RD
1606,3/7/2022 20:22,Trespasser,100 BLOCK S ORANGE AVE
1607,3/7/2022 20:20,911 hang up,9400 BLOCK JEFF FUQUA BLVD
1608,3/7/2022 20:18,House/business check,1200 BLOCK S JOHN YOUNG PKWY
1609,3/7/2022 20:15,Missing person - adult,9300 BLOCK JEFF FUQUA BLVD
1610,3/7/2022 20:13,Accident with road blockage,NEMOURS PKWY / UPPER HARDEN AVE
1611,3/7/2022 20:11,House/business check,3500 BLOCK WILTS CIR S
1612,3/7/2022 20:07,Accident (minor),2900 BLOCK S SEMORAN BLVD
1613,3/7/2022 19:59,House/business check,CORRINE DR / EAST WINTER PARK RD
1614,3/7/2022 19:59,House/business check,5200 BLOCK S SEMORAN BLVD
1615,3/7/2022 19:58,House/business check,COMMANDER DR / TURNBULL DR
1616,3/7/2022 19:54,Attempted suicide,Restricted Address
1617,3/7/2022 19:51,Suspicious person,2400 BLOCK READING DR
1618,3/7/2022 19:51,General disturbance,9700 BLOCK JEFF FUQUA BLVD
1619,3/7/2022 19:45,Ambulance escort,9100 BLOCK JEFF FUQUA BLVD
1620,3/7/2022 19:41,Missing person - juvenile,600 BLOCK COLUMBIA ST
1621,3/7/2022 19:35,Trespasser,E WASHINGTON ST / N ROSALIND AVE
1622,3/7/2022 19:32,Stolen vehicle,6200 BLOCK EDGEWATER DR
1623,3/7/2022 19:29,Non-emergency assistance,5900 BLOCK LEEVISTA BLVD
1624,3/7/2022 19:27,Battery,6000 BLOCK UNIVERSAL BLVD
1625,3/7/2022 19:17,Drug violation,BUSINESS CENTER BLVD / N JOHN YOUNG PKWY
1626,3/7/2022 19:15,Stolen vehicle,5600 BLOCK VINELAND RD
1627,3/7/2022 19:12,House/business check,3000 BLOCK W COLONIAL DR
1628,3/7/2022 19:10,General disturbance,4600 BLOCK EDGEMOOR ST
1629,3/7/2022 19:06,Accident (minor),2300 BLOCK CONWAY RD
1630,3/7/2022 18:58,Domestic disturbance,Restricted Address
1631,3/7/2022 18:44,Theft by shoplifting,4900 BLOCK INTERNATIONAL DR
1632,3/7/2022 18:44,Accident (minor),N ORANGE BLOSSOM TRL / W COLONIAL DR
1633,3/7/2022 18:43,Accident (minor),4900 BLOCK INTERNATIONAL DR
1634,3/7/2022 18:24,Accident with road blockage,CONROY RD / I-4 W
1635,3/7/2022 18:14,General disturbance - armed,2900 BLOCK CORRINE DR
1636,3/7/2022 17:16,Stolen/lost tag,W D JUDGE DR / MERCY DR
1637,3/7/2022 16:49,Man down,2800 BLOCK E COLONIAL DR
1638,3/7/2022 15:59,Domestic disturbance,Restricted Address
1639,3/7/2022 15:30,Theft by shoplifting,2500 BLOCK S KIRKMAN RD
1640,3/7/2022 21:15,Accident (minor),LAKE UNDERHILL RD / S SEMORAN BLVD
1641,3/7/2022 21:13,Commercial alarm,3500 BLOCK PARKWAY CENTER CT
1642,3/7/2022 21:11,Commercial alarm,2600 BLOCK SHADER RD
1643,3/7/2022 21:11,Direct traffic,EDGEWATER DR / MAURY RD
1644,3/7/2022 21:08,Battery,900 BLOCK W JACKSON ST
1645,3/7/2022 21:04,General disturbance,9100 BLOCK JEFF FUQUA BLVD
1646,3/7/2022 21:02,Mentally-ill person (non-violent),4500 BLOCK CEPEDA ST
1647,3/7/2022 21:02,General disturbance,9700 BLOCK JEFF FUQUA BLVD
1648,3/7/2022 21:01,Missing person - juvenile,3900 BLOCK W D JUDGE DR
1649,3/7/2022 21:00,Disabled occupied vehicle,1 BLOCK
1650,3/7/2022 21:00,Illegally parked cars,1 BLOCK
1651,3/7/2022 20:57,Domestic disturbance,Restricted Address
1652,3/7/2022 20:56,Accident (injuries),2300 BLOCK S ORANGE AVE
1653,3/7/2022 20:53,General disturbance,1200 BLOCK S JOHN YOUNG PKWY
1654,3/7/2022 20:52,Accident (injuries),W SAND LAKE RD / GREENBRIAR PKWY
1655,3/7/2022 20:52,Unknown trouble,6000 BLOCK RALEIGH ST
1656,3/7/2022 20:48,Theft,6400 BLOCK APPIAN WAY
1657,3/7/2022 20:44,Disabled occupied vehicle,1 BLOCK
1658,3/7/2022 20:44,House/business check,S SEMORAN BLVD / CURRY FORD RD
1659,3/7/2022 20:38,General disturbance,9400 BLOCK JEFF FUQUA BLVD
1660,3/7/2022 20:37,Vandalism/criminal mischief,1000 BLOCK E KALEY ST
1661,3/7/2022 20:34,Vandalism/criminal mischief,5200 BLOCK N ORANGE BLOSSOM TRL
1662,3/7/2022 20:33,General disturbance,6500 BLOCK S SEMORAN BLVD
1663,3/7/2022 20:31,Residential B&E,500 BLOCK N ORANGE BLOSSOM TRL
1664,3/7/2022 16:49,Dead person,2800 BLOCK E COLONIAL DR
1665,3/8/2022 5:44,House/business check,500 BLOCK W ROBINSON ST
1666,3/8/2022 5:41,House/business check,400 BLOCK W COLONIAL DR
1667,3/8/2022 5:36,Trespasser,500 BLOCK N JOHN YOUNG PKWY
1668,3/8/2022 5:19,Suspicious person,5400 BLOCK INTERNATIONAL DR
1669,3/8/2022 5:18,Suspicious incident,400 BLOCK N GARLAND AVE
1670,3/8/2022 5:16,Theft,3700 BLOCK BENGERT ST
1671,3/8/2022 5:10,Trespasser,1200 BLOCK S JOHN YOUNG PKWY
1672,3/8/2022 5:05,House/business check,1 BLOCK N ORANGE AVE
1673,3/8/2022 4:30,Lost/found property,9400 BLOCK JEFF FUQUA BLVD
1674,3/8/2022 3:54,Law Enforcement Officer escort,NOT AVAILABLE
1675,3/8/2022 3:31,Accident (injuries),S KIRKMAN RD / W SAND LAKE RD OFF RAMP E
1676,3/8/2022 3:26,Drunk driver,N MILLS AVE / CANTON ST
1677,3/8/2022 3:08,Bank alarm,2600 BLOCK S ORANGE AVE
1678,3/8/2022 2:18,Domestic disturbance,Restricted Address
1679,3/8/2022 18:25,Accident (minor),2800 BLOCK S ORANGE AVE
1680,3/8/2022 18:24,Hit and run (minor),4800 BLOCK S SEMORAN BLVD
1681,3/8/2022 18:24,Signal out,TURKEY LAKE RD / VINELAND RD
1682,3/8/2022 18:21,Mentally-ill person (non-violent),100 BLOCK S ORANGE AVE
1683,3/8/2022 18:20,General investigation,6400 BLOCK RALEIGH ST
1684,3/8/2022 18:13,Accident (minor),W ROBINSON ST / N ORANGE AVE
1685,3/8/2022 18:10,Vehicle B&E,600 BLOCK LAKE DOT CIR
1686,3/8/2022 18:03,Fire,NOT AVAILABLE
1687,3/8/2022 18:03,Suspicious person,400 BLOCK E CENTRAL BLVD
1688,3/8/2022 17:55,Battery,9100 BLOCK JEFF FUQUA BLVD
1689,3/8/2022 17:52,Fugitive from justice,S SEMORAN BLVD / CURRY FORD RD
1690,3/8/2022 17:49,Trespasser,700 BLOCK S KIRKMAN RD
1691,3/8/2022 17:43,Residential alarm,2700 BLOCK GRANDOLA DR
1692,3/8/2022 17:42,Theft by shoplifting,4700 BLOCK S GOLDENROD RD
1693,3/8/2022 17:40,Suspicious incident,N ORANGE AVE / E ROBINSON ST
1694,3/8/2022 17:31,Suspicious person,2400 BLOCK READING DR
1695,3/8/2022 17:29,Recovered missing person,600 BLOCK COLUMBIA ST
1696,3/8/2022 17:28,Stolen/lost tag,600 BLOCK W ANDERSON ST
1697,3/8/2022 17:11,Unknown trouble,3300 BLOCK WOODGATE BLVD
1698,3/8/2022 17:00,Missing person - adult,3900 BLOCK VIRGINIA DR
1699,3/8/2022 16:58,Accident with road blockage,W OAK RIDGE RD / ADRIANA AVE
1700,3/8/2022 16:41,Battery,3700 BLOCK SOUTHPOINTE DR
1701,3/8/2022 16:39,Missing person - juvenile,5400 BLOCK SERENE LN
1702,3/8/2022 16:35,Accident with road blockage,S KIRKMAN RD / CONROY RD
1703,3/8/2022 15:16,Vehicle B&E,2100 BLOCK W COLONIAL DR
1704,3/8/2022 15:11,House/business check,N JOHN YOUNG PKWY / W COLONIAL DR
1705,3/8/2022 14:17,General disturbance,2000 BLOCK S ORANGE AVE
1706,3/8/2022 12:31,General investigation,1200 BLOCK E SOUTH ST
1707,3/8/2022 21:19,General disturbance,4500 BLOCK LAKE MARTIN LN
1708,3/8/2022 21:17,General investigation,9400 BLOCK JEFF FUQUA BLVD
1709,3/8/2022 21:16,Accident (minor),9400 BLOCK JEFF FUQUA BLVD
1710,3/8/2022 21:10,Unknown trouble,2800 BLOCK S ORANGE AVE
1711,3/8/2022 21:00,General disturbance,1100 BLOCK S GOLDWYN AVE
1712,3/8/2022 20:47,Domestic disturbance,Restricted Address
1713,3/8/2022 20:44,Designated Patrol Area - available,9300 BLOCK JEFF FUQUA BLVD
1714,3/8/2022 20:38,Battery,4800 BLOCK MATTEO TRL
1715,3/8/2022 20:38,Non-emergency assistance,4700 BLOCK CASON COVE DR
1716,3/8/2022 20:36,Accident (minor),W SAND LAKE RD / GREENBRIAR PKWY
1717,3/8/2022 20:32,Trespasser,3300 BLOCK S KIRKMAN RD
1718,3/8/2022 20:30,Domestic disturbance,Restricted Address
1719,3/8/2022 20:29,Suspicious person,INTERNATIONAL DR / MUNICIPAL DR
1720,3/8/2022 20:26,House/business check,REEVES CT / E SOUTH ST
1721,3/8/2022 20:23,Designated Patrol Area - available,9300 BLOCK JEFF FUQUA BLVD
1722,3/8/2022 20:21,Trespasser,900 BLOCK S ORANGE BLOSSOM TRL
1723,3/8/2022 19:47,House/business check,VIRGINIA DR / N MILLS AVE
1724,3/8/2022 19:39,Suspicious incident,1400 BLOCK S ALDER AVE
1725,3/8/2022 19:33,Illegally parked cars,FALLING NEEDLE DR / NEEDLE POINT DR
1726,3/8/2022 19:32,Commercial alarm,2400 BLOCK CONWAY RD
1727,3/8/2022 18:59,Drug violation,W MICHIGAN ST / S ORANGE AVE
1728,3/8/2022 18:46,Drug violation,CONLEY ST / WOODS AVE
1729,3/8/2022 18:41,General disturbance - armed,1500 BLOCK AMAROS AVE
1730,3/8/2022 18:32,Accident (minor),S SEMORAN BLVD / BUTLER NATIONAL DR
1731,3/8/2022 17:31,Fugitive from justice,2400 BLOCK READING DR
1732,3/9/2022 19:18,Trespasser,7000 BLOCK AUGUSTA NATIONAL DR
1733,3/9/2022 19:15,Unknown trouble,2100 BLOCK W JACKSON ST
1734,3/9/2022 19:15,Missing person - adult,1200 BLOCK W SOUTH ST
1735,3/9/2022 19:14,Battery,1300 BLOCK N FERN CREEK AVE
1736,3/9/2022 19:09,Accident with road blockage,1900 BLOCK EDGEWATER DR
1737,3/9/2022 19:03,Disabled occupied vehicle,N MILLS AVE / VIRGINIA DR
1738,3/9/2022 19:00,Trespasser,3100 BLOCK W PRINCETON ST
1739,3/9/2022 18:59,Accident with road blockage,1100 BLOCK N ORANGE AVE
1740,3/9/2022 18:56,Suspicious incident,6300 BLOCK INTERNATIONAL DR
1741,3/9/2022 18:54,Non-emergency assistance,5500 BLOCK GATLIN AVE
1742,3/9/2022 18:52,Accident (minor),8500 BLOCK LAKE NONA SHORE DR
1743,3/9/2022 18:49,Commercial alarm,700 BLOCK MAIN LN
1744,3/9/2022 18:39,Unknown trouble,1700 BLOCK WILLIAMS MANOR AVE
1745,3/9/2022 18:35,Designated Patrol Area - available,9300 BLOCK JEFF FUQUA BLVD
1746,3/9/2022 18:33,General disturbance - armed,700 BLOCK XAVIOR AVE
1747,3/9/2022 18:26,Stolen vehicle,W WASHINGTON ST / N TAMPA AVE
1748,3/9/2022 18:24,Domestic disturbance,Restricted Address
1749,3/9/2022 18:21,Stolen vehicle,DIRECTORS ROW / TITAN ROW
1750,3/9/2022 18:15,Missing person - juvenile,4600 BLOCK COLLEGE DR
1751,3/9/2022 18:14,Battery,4900 BLOCK CASON COVE DR
1752,3/9/2022 18:05,Accident (minor),N ORANGE BLOSSOM TRL / WINTER ROSE DR
1753,3/9/2022 17:52,Suspicious person,W COLONIAL DR / SPRINGDALE RD
1754,3/9/2022 17:32,General disturbance,4100 BLOCK VERSAILLES DR
1755,3/9/2022 16:38,Missing person - juvenile,1200 BLOCK W SOUTH ST
1756,3/9/2022 15:16,Accident (injuries),WILKINSON ST / N ORANGE AVE
1757,3/9/2022 21:19,Suspicious person,S IVEY LN / W GORE ST
1758,3/9/2022 21:08,General disturbance,5400 BLOCK N ORANGE BLOSSOM TRL
1759,3/9/2022 21:04,Drug violation,WATAUGA AVE / E MICHIGAN ST
1760,3/9/2022 21:02,Drug violation,900 BLOCK W COLONIAL DR
1761,3/9/2022 21:01,Trespasser,2500 BLOCK N JOHN YOUNG PKWY
1762,3/9/2022 20:59,Stolen vehicle,7300 BLOCK CONWAY RD
1763,3/9/2022 20:56,Designated Patrol Area - available,9300 BLOCK JEFF FUQUA BLVD
1764,3/9/2022 20:55,Suspicious incident,6300 BLOCK DAYSBROOK DR
1765,3/9/2022 20:52,Threats/assault,2600 BLOCK JOHN BRUCE AVE
1766,3/9/2022 20:49,Accident (minor),N ORANGE BLOSSOM TRL / WINTER ROSE DR
1767,3/9/2022 20:47,Accident (minor),9600 BLOCK JEFF FUQUA BLVD
1768,3/9/2022 20:38,Theft by shoplifting,2200 BLOCK EDGEWATER DR
1769,3/9/2022 20:16,House/business check,MERCY DR / W PRINCETON ST
1770,3/9/2022 20:15,Stolen vehicle,500 BLOCK S ORANGE BLOSSOM TRL
1771,3/9/2022 20:10,Vehicle B&E,3900 BLOCK NORTH LAKE ORLANDO PKWY
1772,3/9/2022 20:08,Unknown trouble,1700 BLOCK MERCY DR
1773,3/9/2022 20:06,General disturbance,600 BLOCK RIDGEWOOD ST
1774,3/9/2022 20:01,Designated Patrol Area - available,9300 BLOCK JEFF FUQUA BLVD
1775,3/9/2022 19:54,Suspicious incident,5100 BLOCK INTERNATIONAL DR
1776,3/9/2022 19:46,Drug violation,W COLONIAL DR / PETE PARRISH BLVD
1777,3/9/2022 19:46,General investigation,1200 BLOCK W SOUTH ST
1778,3/9/2022 19:37,Mentally-ill person (non-violent),900 BLOCK S KIRKMAN RD
1779,3/9/2022 19:37,Battery,10700 BLOCK BELLE MAISONS DR
1780,3/9/2022 19:23,Theft,W KALEY ST / S ORANGE AVE
1781,3/9/2022 19:22,Theft by shoplifting,5500 BLOCK INTERNATIONAL DR
1782,3/9/2022 19:00,Missing person - juvenile,4600 BLOCK COLLEGE DR
1783,3/9/2022 18:26,Recovered stolen vehicle,W WASHINGTON ST / N TAMPA AVE
1784,3/10/2022 6:13,Commercial alarm,1000 BLOCK WOODCOCK RD
1785,3/10/2022 6:10,Suspicious person,4300 BLOCK N PINE HILLS RD
1786,3/10/2022 6:08,Mentally-ill person (violent),3000 BLOCK C R SMITH ST
1787,3/10/2022 6:05,Nuisance animal,6400 BLOCK RALEIGH ST
1788,3/10/2022 5:40,General investigation,5800 BLOCK INTERNATIONAL DR
1789,3/10/2022 5:18,House/business check,W LIVINGSTON ST / N GARLAND AVE
1790,3/10/2022 5:06,Missing person - adult,9400 BLOCK JEFF FUQUA BLVD
1791,3/9/2022 21:48,Accident (injuries),PRESIDENT BARACK OBAMA PKWY / L B MCLEOD RD
1792,3/10/2022 16:32,General investigation,2400 BLOCK 29TH ST
1793,3/10/2022 16:31,Accident (minor),1600 BLOCK S SEMORAN BLVD
1794,3/10/2022 16:29,General disturbance,1 BLOCK N SUMMERLIN AVE
1795,3/10/2022 16:27,Abandoned vehicle,9900 BLOCK BENNINGTON CHASE DR
1796,3/10/2022 16:20,Suspicious person,E COLONIAL DR / SHINE AVE
1797,3/10/2022 16:18,Lost/found property,900 BLOCK N ORANGE AVE
1798,3/10/2022 16:16,Trespasser,12800 BLOCK NARCOOSSEE RD
1799,3/10/2022 16:15,Accident with road blockage,BROADWAY AVE / E ROBINSON ST
1800,3/10/2022 16:13,General investigation,9200 BLOCK JEFF FUQUA BLVD
1801,3/10/2022 16:11,School zone crossing,6000 BLOCK ROBERTO CLEMENTE RD
1802,3/10/2022 16:11,Battery,800 BLOCK MERCADO AVE
1803,3/10/2022 16:05,Accident with road blockage,N ORANGE BLOSSOM TRL / COUNTRY CLUB DR
1804,3/10/2022 16:04,Non-emergency assistance,SILVER STAR RD / N JOHN YOUNG PKWY
1805,3/10/2022 16:00,General disturbance,10500 BLOCK JEFF FUQUA BLVD
1806,3/10/2022 15:59,Accident with road blockage,CURRY FORD RD / S SEMORAN BLVD
1807,3/10/2022 15:55,Attempted suicide,Restricted Address
1808,3/10/2022 15:55,Suspicious person,5700 BLOCK N ORANGE BLOSSOM TRL
1809,3/10/2022 15:53,Attempted suicide,Restricted Address
1810,3/10/2022 15:53,Non-emergency assistance,700 BLOCK W LIVINGSTON ST
1811,3/10/2022 15:47,Hit and run (minor),W AMELIA ST / N HUGHEY AVE
1812,3/10/2022 15:44,Suspicious incident,900 BLOCK W COLONIAL DR
